id,name,image,description,fpCost,hpCost,effect
17f696cd1c3l0i2rdwfiwxjblacnad,Lhutel The Headless,https://eldenring.fanapis.com/images/spirits/17f696cd1c3l0i2rdwfiwxjblacnad.png,Legendary ashen remains. Use to summon the spirit of Lhutel the Headless.,104,0,Summons spirit of Lhutel the Headless
17f698ab785l0i2re2gfjekyqwlm8j,Mad Pumpkin Head Ashes,https://eldenring.fanapis.com/images/spirits/17f698ab785l0i2re2gfjekyqwlm8j.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a mad pumpkin head. Spirit of a mad soldier with a large, brawny physique. Though he has stifled his panic within the dark confines of his helmet, he rampages as if driven mad when agitated by bloodshed or the humming of insects. This mad soldier is all that is left of a broken gladiator.",110,0,Summon the spirit of a mad pumpkin head
17f69c24d62l0i2re6lrc9a3zopybr,Marionette Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69c24d62l0i2re6lrc9a3zopybr.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of two marionette soldiers.,67,0,Summons two marionette soldier spirits
17f69718dccl0i2rebxuwsfendz6e,Lone Wolf Ashes,https://eldenring.fanapis.com/images/spirits/17f69718dccl0i2rebxuwsfendz6e.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of three lone wolves.,55,0,Summons three lone wolf spirits.
17f69b5bc8dl0i2redg5p2ojmuksvu,Mimic Tear Ashes,https://eldenring.fanapis.com/images/spirits/17f69b5bc8dl0i2redg5p2ojmuksvu.png,Legendary ashen remains. Use to summon the spirit of a mimic tear. Summoning consumes HP rather than FP.,0,660,Summons mimic tear spirit
17f69a3cc86l0i2rej3i1ddya1oiq9,Nightmaiden & Swordtress Puppets,https://eldenring.fanapis.com/images/spirits/17f69a3cc86l0i2rej3i1ddya1oiq9.png,An old puppet crafted in the Eternal City.,97,0,Summons nightmaiden & swordstress spirits
17f69a2890el0i2renh0xht1xcqkfe,Noble Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69a2890el0i2renh0xht1xcqkfe.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a noble sorcerer. Spirit of a nobleman who once asked to be given a place at Raya Lucaria to learn glintstone sorceries. His talents were insufficient to be worthy of donning the stone crown, however, and he is only capable ofusing the most rudimentary sorcery.",11,0,Summons noble sorcerer spirit.
17f69cba9a9l0i2reprf9ja1xfjpg,Nomad Ashes,https://eldenring.fanapis.com/images/spirits/17f69cba9a9l0i2reprf9ja1xfjpg.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of a nomad.,61,0,Summons nomad spirit
17f69b8b45cl0i2revtxehcf0mla2c,Omenkiller Rollo,https://eldenring.fanapis.com/images/spirits/17f69b8b45cl0i2revtxehcf0mla2c.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of Omenkiller Rollo.,113,0,Summons spirit of Omenkiller Rollo
17f69adba9el0i2rf0sm2c9jcpc2m,Raya Lucaria Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69adba9el0i2rf0sm2c9jcpc2m.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of three Raya Lucaria soldiers.,59,1,Summons three Raya Lucaria soldier spirits
17f69f00316l0i2rf7rq3l4lzz67b,Page Ashes,https://eldenring.fanapis.com/images/spirits/17f69f00316l0i2rf7rq3l4lzz67b.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of a page.,81,0,Summons page spirit
17f69a1eaddl0i2rfd40p6zlanz41sf,Skeletal Militiaman Ashes,https://eldenring.fanapis.com/images/spirits/17f69a1eaddl0i2rfd40p6zlanz41sf.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of two skeletal militiamen.,44,0,Summons two skeletal militiaman spirits
17f697066c0l0i2rfjc7ykblsby5ox,Spirit Jellyfish Ashes,https://eldenring.fanapis.com/images/spirits/17f697066c0l0i2rfjc7ykblsby5ox.png,Ashen remains in which spirits yet dwell. Use to summon a spirit jellyfish.,31,0,Summons spirit jellyfish.
17f69c7c032l0i2rfjqjylurrvvo1l,Skeletal Bandit Ashes,https://eldenring.fanapis.com/images/spirits/17f69c7c032l0i2rfjqjylurrvvo1l.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of a skeletal bandit.,22,0,Summons skeletal bandit spirit
17f69ecd388l0i2rfmox0cljjuuri,Stormhawk Deenh,https://eldenring.fanapis.com/images/spirits/17f69ecd388l0i2rfmox0cljjuuri.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of Deenh the Stormhawk.,47,0,Summons spirit of Stormhawk Dreenh
17f69bf3136l0i2rfs0407qepaxpho,Twinsage Sorcerer Ashes,https://eldenring.fanapis.com/images/spirits/17f69bf3136l0i2rfs0407qepaxpho.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of a Twinsage sorcerer.,89,0,Summons Twinsage sorcerer spirit
17f69871c91l0i2rfwnjft8senytx,Wandering Noble Ashes,https://eldenring.fanapis.com/images/spirits/17f69871c91l0i2rfwnjft8senytx.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of five wandering nobles.,28,0,Summons five wandering noble spirits.
17f69732716l0i2rg3m2el64hvaq0m,Rotten Stray Ashes,https://eldenring.fanapis.com/images/spirits/17f69732716l0i2rg3m2el64hvaq0m.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a rotten stray. Spirit of a stray dog corrupted by the scarlet rot.  Through it is only a small creature, it is as violent as it is nimble, and its fangs fester with poisonous rot",35,0,Summon rotten stray spirit
17f69e64c4al0i2rg6ksmiwxmcgad,Warhawk Ashes,https://eldenring.fanapis.com/images/spirits/17f69e64c4al0i2rg6ksmiwxmcgad.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a warhawk. Spirit of a Stormveil warhawk, the talons of which have been sliced off so that razor-fine swords could be grafted in their place. With its lord vanquished, and its wings wounded, the hawk perished as it solemnly gazed at its former home. The storm is a warhawk's cradle.",52,0,Summons warhawk spirit
17f6978cd87l0i2rgbupusbrmdqmhl,Latenna The Albinauric,https://eldenring.fanapis.com/images/spirits/17f6978cd87l0i2rgbupusbrmdqmhl.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of Latenna the Albinauric.,74,0,Summons the spirit of Latenna the Albinauric
17f69ba4ffal0i2rgd5rdlvueh3v0q,Winged Misbegotten Ashes,https://eldenring.fanapis.com/images/spirits/17f69ba4ffal0i2rgd5rdlvueh3v0q.png,Ashen remains in which spirits yet dwell. Use to summon the spirit of a winged misbegotten.,37,0,Summons winged misbegotten spirit
17f69c882dal0i2rgmqlt6en3tjlqm,Bloodhound Knight Floh,https://eldenring.fanapis.com/images/spirits/17f69c882dal0i2rgmqlt6en3tjlqm.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Floh, the Bloodhound Knight.",95,0,Summons spirit of Bloodhound Knight Floh
17f69b927b9l0i2rgoqeiknjm21fba,Perfumer Tricia,https://eldenring.fanapis.com/images/spirits/17f69b927b9l0i2rgoqeiknjm21fba.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Tricia, the perfumer.",78,0,Summons spirit of Perfumer Tricia
17f69d471b4l0i2rgvwohtrk19bpy,Leyndell Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69d471b4l0i2rgvwohtrk19bpy.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two Leyndell soldiers. Spirits of soldiers each equipped with a spear and greatshield. The soldiers of Leyndell fight their battles defensively. During the Shattering, they were the ramparts that fortified the royal capital.",64,0,Summons two Leyndell soldier spirits
17f69c6b7d1l0i2rgxuyvekun2pas,Miranda Sprout Ashes,https://eldenring.fanapis.com/images/spirits/17f69c6b7d1l0i2rgxuyvekun2pas.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of five miranda sprouts. Summoning consumes HP rather than FP. Spirits of sweet little miranda flowers, carnivorous blossoms that feed upon human flesh. They creep slowly, scattering toxic pollen. Vulnerable to fire—do take care of the little darlings",0,185,Summons five miranda sprouts
17f6987842cl0i2rh0v17nw2hyrdslh,Vulgar Militia Ashes,https://eldenring.fanapis.com/images/spirits/17f6987842cl0i2rh0v17nw2hyrdslh.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of three vulgar militiamen. Spirits of the vulgar militia who wield long-hafted, serrated hatchets. These brutal weapons are particularly effective at causing blood loss to opponents. In the Lands Between, the small were scorned, and so they formed their vulgar militia as a means to make a living, albeit in ignominy.",70,0,Summons three vulgar Militia spirits
17f69be5a2fl0i2rh6qmlpa2s0tpao,Land Squirt Ashes,https://eldenring.fanapis.com/images/spirits/17f69be5a2fl0i2rh6qmlpa2s0tpao.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of three land squirts Summoning consumes HP rather than FP. These spirits appear some distance from the summoner. The firm, fleshy tubes of the creatures remain rooted to the spot, spraying poisonous liquid over their surroundings",0,240,Summons three land squirts
17f69a4c036l0i2rhgqvv4avdj310g,Kindred Of Rot Ashes,https://eldenring.fanapis.com/images/spirits/17f69a4c036l0i2rhgqvv4avdj310g.png,"Ashen remains in which spirits yet dwell. Use to summon a spirit of the Kindred of Rot. This spirit takes the form of a crawling pest, its chitinous body making a dry rustling sound. Attacks enemies by secreting sticky threads. The Kindred of Rot are the servants of the Goddess of Rot—servants that have been forsaken.",73,0,Summons Kindred of Rot spirit
17f69f84b01l0i2rhicosayr42hna,Ancient Dragon Knight Kristoff Ashes,https://eldenring.fanapis.com/images/spirits/17f69f84b01l0i2rhicosayr42hna.png,"Legendary ashen remains. Use to summon the spirit of Kristoff, the Ancient Dragon Knight. Spirit of Kristoff, an honorable knight of Leyndell who was also a devout worshipper of the ancient dragons. His skills strike down foes with thunderbolts, the dragons' weapon of choice. After the First Defense of Leyndell, Kristoff earned the hero's honor of Erdtree Burial for the feat of capturing Godefroy the Grafted.",108,0,Summons spirit of Ancient Dragon Knight Kristoff
17f69c1b5ebl0i2rhm76pm5x3fs02f,Azula Beastman Ashes,https://eldenring.fanapis.com/images/spirits/17f69c1b5ebl0i2rhm76pm5x3fs02f.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two Azula beastmen. Spirits of beastmen from doomed Farum Azula, the slowly crumbling ruins in the skies. These ruins are said to be the remains of a giant mausoleum enshrining an ancient dragon, guarded by chosen beastmen who wield weapons clad in lightning.",102,0,Summons two Azula beastman spirits
17f69bc440el0i2rho6izbci2my7fi,Banished Knight Engvall Ashes,https://eldenring.fanapis.com/images/spirits/17f69bc440el0i2rho6izbci2my7fi.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Engvall, the Banished Knight. One of the two knights dubbed the Wings of the Storm. Despite his banishment, he rejected the invitation of the Grace-Given Lord, instead keeping watch over a masterless castle for many years, gaining renown as a hero of the fringes.",100,0,Summons spirit of Banished Knight Engvall
17f698e5162l0i2rhsg27fvvcchhh8,Battlemage Hugues Ashes,https://eldenring.fanapis.com/images/spirits/17f698e5162l0i2rhsg27fvvcchhh8.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Battlemage Hugues. Hugues came from Sellia to study the Haima Conspectus at the academy, where he became a battlemage. Haima scholars seek to quell conflict with cannon fire and the gavel, but Hugues developed a longing for it.",122,0,Summons spirit of Battlemage Hugues
17f69de3343l0i2ri02qpv643ynu3,Blackflame Monk Amon Ashes,https://eldenring.fanapis.com/images/spirits/17f69de3343l0i2ri02qpv643ynu3.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Amon, the Blackflame Monk. Amon swore fealty to the god-slaying black flame, and so became the first fire monk to turn traitor. Or perhaps it is better said that he fled from the Giants' Flame—out of cowardice.",115,0,Summons spirit of Blackflame Monk Amon
17f69cb98c7l0i2ri0lmguxpofwvp,Clayman Ashes,https://eldenring.fanapis.com/images/spirits/17f69cb98c7l0i2ri0lmguxpofwvp.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two claymen. Bowed with age, these spirits are sluggish but hard to stagger. The warped remains of priests who searched for revelation in service of the ancient dynasty, they employ two sorceries that produce smaller and larger bubbles.",77,0,Summons two clayman spirits
17f69c7c8b5l0i2ri969yh285riaw5,Crystalian Ashes,https://eldenring.fanapis.com/images/spirits/17f69c7c8b5l0i2ri969yh285riaw5.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a Crystalian. Spirit that wields round crystalline blades, both big and small. Its sturdy body, itself hewn from crystal long ago, is hard enough to blunt its opponent's blades, but blows from bludgeoning weapons can shatter it easily.",101,0,Summons Crystalian spirit
17f69c971e5l0i2ricvamdlfi9hd4e,Depraved Perfumer Carmaan Ashes,https://eldenring.fanapis.com/images/spirits/17f69c971e5l0i2ricvamdlfi9hd4e.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Carmaan, the depraved perfumer. Depraved perfumers practice their art for themselves alone. Carmaan was a notably formidable perfumer whose strength rivaled that of heroes, and it is said that he was in search of a secret physick of revivification.",124,0,Summons spirit of Depraved Perfumer Carmaan
17f699877aal0i2rifkvslfle9b9ha,Cleanrot Knight Finlay Ashes,https://eldenring.fanapis.com/images/spirits/17f699877aal0i2rifkvslfle9b9ha.png,"Legendary ashen remains. Use to summon the spirit of the Cleanrot Knight Finlay. Finlay was one of the few survivors of the Battle of Aeonia, who in an unimaginable act of heroism carried the slumbering demigod Malenia all the way back to the Haligtree. She managed the feat alone, fending off all manner of foes along the way.",127,0,Summons spirit of Cleanrot Knight Finlay
17f699d3e8fl0i2rijbhqroryzjjtm,Dung Eater Puppet,https://eldenring.fanapis.com/images/spirits/17f699d3e8fl0i2rijbhqroryzjjtm.png,"One of Seluvis's puppets. Use to summon the spirit of the Dung Eater. Spirit of a man who murdered thousands and defiled their corpses with the Seedbed Curse. Wields a spine greatsword and hurls curses. The Dung Eater despaired at how he met his end. How hideous and sinister this puppet is, and yet, its utter despair invites one to care for it.",118,0,Summons spirit of the Dung Eater
17f69bd2cd3l0i2riv19z68urypaam,Fire Monk Ashes,https://eldenring.fanapis.com/images/spirits/17f69bd2cd3l0i2riv19z68urypaam.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a Fire Monk. Spirit of a stout monk who monitored the Giants' Flame. Versed in fire incantations, and himself steeled against fire. Though he was charged with keeping watch over the Flame, after many years of solemn duty, he has succumbed to its allure.",85,0,Summons Fire Monk spirit
17f69f7b11fl0i2rix87eagayvg5or,Dolores The Sleeping Arrow Puppet,https://eldenring.fanapis.com/images/spirits/17f69f7b11fl0i2rix87eagayvg5or.png,"One of Seluvis's favorite puppets. Use to summon the spirit of Dolores the Sleeping Arrow Spirit of a handsome archer who dressed in the style of a man. Called the Silent Hunter by some, she fires St. Trina's arrows from her shortbow. Dolores once belonged to the Roundtable Hold, where she was both a critic and a friend of Gideon the All-Knowing. It was because of her that he and Seluvis went their separate ways.",87,0,Summons spirit of Solores the Sleeping Arrow
17f69b464d7l0i2riyiocraa9z2guc,Haligtree Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69b464d7l0i2riyiocraa9z2guc.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of four Haligtree soldiers. Spirits of common soldiers who carry the sacred light. When weakened, they explode to deliver a last-ditch attack. This was the bitter revelation discovered by the desperate soldiers who awaited the return of their lord to the rotted Haligtree. May the flash of our deaths guide Miquella's return.",66,0,Summons four Haligtree soldier spirits
17f69bda110l0i2rj2fpyaeegsbkdn,Man-serpent Ashes,https://eldenring.fanapis.com/images/spirits/17f69bda110l0i2rj2fpyaeegsbkdn.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a man-serpent. Spirit of a deformed man-serpent that wields a whip of magma. It is said that long ago, the elder serpent that dwelled on Mt. Gelmir devoured a demigod, and the birth of the man-serpents followed.",62,0,Summons man-serpent spirit
17f69ab4977l0i2rj50c2ffeu71unu,Mausoleum Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69ab4977l0i2rj50c2ffeu71unu.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of five mausoleum soldiers. Spirits of five headless soldiers who confound foes by disappearing and reappearing at will. The mausoleum is where the bodies of soulless demigods are lain to rest, and these soldiers followed their masters into Death by severing their own heads from their bodies.",75,0,Summons five mausoleum soldier spirits
17f69663925l0i2rjhexap3mp9otq,Oracle Envoy Ashes,https://eldenring.fanapis.com/images/spirits/17f69663925l0i2rjhexap3mp9otq.png,Ashen Remains in which spirits yet dwell.,72,0,Summons four Oracle Envoy spirits
17f69b254ffl0i2rjlmj6dtmbbwve,Putrid Corpse Ashes,https://eldenring.fanapis.com/images/spirits/17f69b254ffl0i2rjlmj6dtmbbwve.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of four putrid corpses.,40,0,Summons four putrid corpse spirits
17f69ce3ebfl0i2rjo4bbtu73ia5tu,Radahn Soldier Ashes,https://eldenring.fanapis.com/images/spirits/17f69ce3ebfl0i2rjo4bbtu73ia5tu.png,Ashen remains in which spirits yet dwell. Use to summon the spirits of two of Radahn's soldiers.,71,0,Summons two Radahn Soldier spirits
17f69eb8a3dl0i2rjqdm5kzaa1sd9k,Redmane Knight Ogha,https://eldenring.fanapis.com/images/spirits/17f69eb8a3dl0i2rjqdm5kzaa1sd9k.png,"Legendary ashen remains. Use to summon the spirit of Ogha, the Redmane Knight. Spirit of a mighty knight versed in the use of a greatbow. A valiant warrior who will attack immediately after being summoned. The longest-serving member of the Redmane Knights, Ogha studied techniques to manipulate gravity alongside Radahn. May use a rain of gravitational arrows in response to a war cry, but only once.",106,0,Summons spirit of Redmane Knight Ogha
17f69abc3b9l0i2rjr6m5bbrtexdp,Nepheli Loux Puppet,https://eldenring.fanapis.com/images/spirits/17f69abc3b9l0i2rjr6m5bbrtexdp.png,"One of Seluvis's favorite puppets. Use to summon the spirit of Nepheli Loux. Puppet of a warrior who was betrayed by her pure heart. Wields a Stormhawk Axe in both hands and uses the Thunderstorm skill. A diamond in the rough, deserving of special care lest its potential be squandered. Nepheli Loux truly was a warrior.",90,0,Summons spirit of Nepheli Loux
17f69ddaf0fl0i2rjyrykqzpcxfre,Soldjars Of Fortune Ashes,https://eldenring.fanapis.com/images/spirits/17f69ddaf0fl0i2rjyrykqzpcxfre.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of three little living jars. Summoning consumes HP rather than FP. These reckless spirits sacrifice themselves to vanquish their summoner's foes, and explode upon death. Though their bravery is admirable, their explosions can harm friend as well as foe, and they will also immediately explode on contact with fire. ""Tell the others—tell them how brightly a fire jar burns.""",0,135,Summons three little living jar spirits
sote-spirits-0,Curseblade Meera,/items/spirits/sote-spirits-0.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Curseblade Meera. Attacks immediately after being summoned. Curseblades appear to dance when they spin their shimmering circular blades. These ascetics, who failed to become tutelary deities, were a scourge for those who attempted to invade the hornsent homeland. Long ago, before the land was overshadowed by invasion, this scourge was shunned, and the curseblades were imprisoned. It was during this confinement that Meera met Labirith, and upon her death, Labirith was plunged into a devastating darkness.",91,0,Summons spirit of Curseblade Meera
sote-spirits-1,Bloodfiend Hexer's Ashes,/items/spirits/sote-spirits-1.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a bloodfiend hexer. Summoning consumes HP rather than FP. This spirit conducts bloodboon rituals with a sacred spear, casts bloodflame hexes, and takes a singular pleasure in letting the blood of foes. Long ago, a subjugated tribe discovered a twisted deity amongst the ravages of war, and they were transformed into bloodfiends. The mother of truth was their savior.",0,500,Summons bloodfiend hexer spirit
sote-spirits-2,Gravebird Ashes,/items/spirits/sote-spirits-2.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a Gravebird. The spirit of an old golem and spiritgrave keeper, who flies with stone wings and spouts ghostflame. According to legend, the Gravebirds were crafted to be kindred to the Deathbirds.",52,0,Summons Gravebird spirit
sote-spirits-3,Fire Knight Hilde,/items/spirits/sote-spirits-3.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Fire Knight Hilde. A spirit who belonged to the Fire Knights; an order which answers directly to Messmer. Hilde swings a slender greatsword and casts fire incantations. Hilde was a dear friend to Salza the sage, and joined those who urged that the specimens be preserved. Hilde's ashes were enshrined as a charm to protect the storehouse.",116,0,Summons spirit of Fire Knight Hilde
sote-spirits-4,Spider Scorpion Ashes,/items/spirits/sote-spirits-4.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a spider scorpion. This scorpion is larger than a human, and attacks with pincers and a poisonous tail. Appears some distance from the summoner. This breed of scorpion was native to the realm of shadow, but was far smaller in size. Recent giant scorpions are said to trace back to the Church of the Bud.",31,0,Summons spider scorpion spirit
sote-spirits-5,Inquisitor Ashes,/items/spirits/sote-spirits-5.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two hornsent inquisitors. The inquisitor hags wield barbed candlesticks. One of the inquisitors casts a tower hex to heal HP, while the hex of the other boosts her own attack power. Inquisitions often perplexed the minds of the uninitiated, and so seniority was viewed as an asset.",67,0,Summons two inquisitor spirits
sote-spirits-6,Demi-Human Swordsman Yosh,/items/spirits/sote-spirits-6.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Yosh, the demi-human swordsman. Onze, a master swordsman who devoted himself to the Star-Lined Sword, realized that only ruin awaited at the end of the procession of stars, and imprisoned himself in order to forestall it. However, Yosh, an apprentice who absorbed his technique, stubbornly refused to heed his master's words, and spent entire his life at his side, in defiance of his self-imposed seclusion.",129,0,Summons spirit of Demi-Human Swordsman Yosh
sote-spirits-7,Messmer Soldier Ashes,/items/spirits/sote-spirits-7.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of two of Messmer's soldiers. One soldier wields an axe, while the other wields a spear. Both of them are adept at charge attacks. These soldiers belonged to the ignoble penal battalion, and were buried hidden from the Scadutree's sight.",66,0,Summons two Messmer soldier spirits
sote-spirits-8,Black Knight Commander Andreas,/items/spirits/sote-spirits-8.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Andreas, Knight-Commander of the Black Knights. The Black Knights were the primary force of Messmer's army. Their first leader was Andreas, a man endowed with great strength and command over the powers of the Crucible, and whose spirit in these ashes dwells. Though he remained a devout follower of Messmer after his flight from the Erdtree, he would rebel after learning of his liege's serpentine nature. His righteous stand was rewarded with imprisonment in an underground tomb.",108,0,Summons spirit of Black Knight Commander Andreas
sote-spirits-9,Black Knight Captain Huw,/items/spirits/sote-spirits-9.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of Huw, Knight-Captain of the Black Knights. The Black Knights were the primary force of Messmer's army. Second to their first Knight-Commander was Huw, a man with agile command of both twinblade techniques and the powers of the Crucible, and whose spirit in these ashes dwells. Though a champion of the divine beast hunt, he followed his father, Andreas, into rebellion against Messmer, and like his father, he too was imprisoned in an underground tomb. Messmer mourned the loss of a brother-in-arms.",106,0,Summons spirit of Black Knight Captain Huw
sote-spirits-10,Bigmouth Imp Ashes,/items/spirits/sote-spirits-10.png,"Ashen remains in which spirits yet dwell. Use to summon the spirit of a large-mouthed imp. The spirit of this old imp, said to be fashioned after a dragon, has a big mouth that serves as a cannon and allows it to fire shells from the rear of the battlefield.",50,0,Summons bigmouth imp spirit
sote-spirits-11,Man-Fly Ashes,/items/spirits/sote-spirits-11.png,"Ashen remains in which spirits yet dwell. Use to summon the spirits of three man-flies. Two of the man-flies attack foes from the air, while the third spits poison from the rear. Afflicted hornsent eventually metamorphosed into a fly-like form. It was believed that the moment the transformation took place, they were relieved from their suffering.",28,0,Summons three man-fly spirits
