id,shield name,upgrade,attack power,stat scaling,passive effects,damage reduction (%)
338,Riveted Wooden Shield,Standard ,"{'Phy': '72 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '56 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '39 ', 'Rst': '21 '}"
339,Riveted Wooden Shield,Standard +1 ,"{'Phy': '76 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '58 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '39.78 ', 'Rst': '21 '}"
340,Riveted Wooden Shield,Standard +2 ,"{'Phy': '80 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '60 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '40.56 ', 'Rst': '21 '}"
341,Riveted Wooden Shield,Standard +3 ,"{'Phy': '84 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '62 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '41.34 ', 'Rst': '21 '}"
342,Riveted Wooden Shield,Standard +4 ,"{'Phy': '88 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '64 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '42.12 ', 'Rst': '21 '}"
343,Riveted Wooden Shield,Standard +5 ,"{'Phy': '92 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '67 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '42.9 ', 'Rst': '21 '}"
344,Riveted Wooden Shield,Standard +6 ,"{'Phy': '97 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '69 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '43.68 ', 'Rst': '21 '}"
345,Riveted Wooden Shield,Standard +7 ,"{'Phy': '101 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '71 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '44.46 ', 'Rst': '21 '}"
346,Riveted Wooden Shield,Standard +8 ,"{'Phy': '105 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '73 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '44.85 ', 'Rst': '21 '}"
347,Riveted Wooden Shield,Standard +9 ,"{'Phy': '109 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '76 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '45.24 ', 'Rst': '21 '}"
348,Riveted Wooden Shield,Standard +10 ,"{'Phy': '113 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '78 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '45.63 ', 'Rst': '21 '}"
349,Riveted Wooden Shield,Standard +11 ,"{'Phy': '117 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '80 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '46.02 ', 'Rst': '21 '}"
350,Riveted Wooden Shield,Standard +12 ,"{'Phy': '122 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '82 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '46.41 ', 'Rst': '21 '}"
351,Riveted Wooden Shield,Standard +13 ,"{'Phy': '126 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '85 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '46.8 ', 'Rst': '21 '}"
352,Riveted Wooden Shield,Standard +14 ,"{'Phy': '130 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '87 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '47.19 ', 'Rst': '21 '}"
353,Riveted Wooden Shield,Standard +15 ,"{'Phy': '134 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '89 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '47.58 ', 'Rst': '21 '}"
354,Riveted Wooden Shield,Standard +16 ,"{'Phy': '138 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '91 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '47.97 ', 'Rst': '21 '}"
355,Riveted Wooden Shield,Standard +17 ,"{'Phy': '142 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '94 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '48.36 ', 'Rst': '21 '}"
356,Riveted Wooden Shield,Standard +18 ,"{'Phy': '147 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '96 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '48.75 ', 'Rst': '21 '}"
357,Riveted Wooden Shield,Standard +19 ,"{'Phy': '151 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '98 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '49.14 ', 'Rst': '21 '}"
358,Riveted Wooden Shield,Standard +20 ,"{'Phy': '155 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '100 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '49.53 ', 'Rst': '21 '}"
359,Riveted Wooden Shield,Standard +21 ,"{'Phy': '159 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '103 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '49.92 ', 'Rst': '21 '}"
360,Riveted Wooden Shield,Standard +22 ,"{'Phy': '163 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '105 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '50.31 ', 'Rst': '21 '}"
361,Riveted Wooden Shield,Standard +23 ,"{'Phy': '168 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '107 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '50.7 ', 'Rst': '21 '}"
362,Riveted Wooden Shield,Standard +24 ,"{'Phy': '172 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '109 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '51.09 ', 'Rst': '21 '}"
363,Riveted Wooden Shield,Standard +25 ,"{'Phy': '176 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '112 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '51.48 ', 'Rst': '21 '}"
676,Riveted Wooden Shield,Standard ,"{'Phy': '72 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '56 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '39 ', 'Rst': '21 '}"
677,Riveted Wooden Shield,Standard +1 ,"{'Phy': '76 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '58 '}","{'Str': 'E ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '39.78 ', 'Rst': '21 '}"
678,Riveted Wooden Shield,Standard +2 ,"{'Phy': '80 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '60 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '40.56 ', 'Rst': '21 '}"
679,Riveted Wooden Shield,Standard +3 ,"{'Phy': '84 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '62 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '41.34 ', 'Rst': '21 '}"
680,Riveted Wooden Shield,Standard +4 ,"{'Phy': '88 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '64 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '42.12 ', 'Rst': '21 '}"
681,Riveted Wooden Shield,Standard +5 ,"{'Phy': '92 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '67 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '42.9 ', 'Rst': '21 '}"
682,Riveted Wooden Shield,Standard +6 ,"{'Phy': '97 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '69 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '43.68 ', 'Rst': '21 '}"
683,Riveted Wooden Shield,Standard +7 ,"{'Phy': '101 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '71 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '44.46 ', 'Rst': '21 '}"
684,Riveted Wooden Shield,Standard +8 ,"{'Phy': '105 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '73 '}","{'Str': 'D ', 'Dex': '- ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '74 ', 'Mag': '43 ', 'Fir': '31 ', 'Lit': '24 ', 'Hol': '45 ', 'Bst': '44.85 ', 'Rst': '21 '}"
