id,weapon name,upgrade,attack power,stat scaling,passive effects,damage reduction (%)
14,Dueling Shield,Standard +14 ,"{'Phy': '226 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '109 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '66.12 ', 'Rst': '20 '}"
15,Dueling Shield,Standard +15 ,"{'Phy': '233 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '112 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '66.7 ', 'Rst': '20 '}"
16,Dueling Shield,Standard +16 ,"{'Phy': '241 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '114 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '67.28 ', 'Rst': '20 '}"
17,Dueling Shield,Standard +17 ,"{'Phy': '248 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '117 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '67.28 ', 'Rst': '20 '}"
18,Dueling Shield,Standard +18 ,"{'Phy': '255 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '120 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '67.86 ', 'Rst': '20 '}"
19,Dueling Shield,Standard +19 ,"{'Phy': '262 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '123 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '67.86 ', 'Rst': '20 '}"
20,Dueling Shield,Standard +20 ,"{'Phy': '270 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '126 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '68.44 ', 'Rst': '20 '}"
21,Dueling Shield,Standard +21 ,"{'Phy': '277 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '128 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '68.44 ', 'Rst': '20 '}"
22,Dueling Shield,Standard +22 ,"{'Phy': '284 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '131 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '68.44 ', 'Rst': '20 '}"
23,Dueling Shield,Standard +23 ,"{'Phy': '291 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '134 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '69.02 ', 'Rst': '20 '}"
24,Dueling Shield,Standard +24 ,"{'Phy': '299 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '137 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '69.02 ', 'Rst': '20 '}"
25,Dueling Shield,Standard +25 ,"{'Phy': '306 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '140 '}","{'Str': 'D ', 'Dex': 'C ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '88 ', 'Mag': '44 ', 'Fir': '39 ', 'Lit': '55 ', 'Hol': '53 ', 'Bst': '69.6 ', 'Rst': '20 '}"
338,Carian Thrusting Shield,Standard ,"{'Phy': '122 ', 'Mag': '36 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '75 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '64 ', 'Rst': '21 '}"
339,Carian Thrusting Shield,Standard +1 ,"{'Phy': '129 ', 'Mag': '38 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '78 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '64.64 ', 'Rst': '21 '}"
340,Carian Thrusting Shield,Standard +2 ,"{'Phy': '136 ', 'Mag': '40 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '81 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '65.28 ', 'Rst': '21 '}"
341,Carian Thrusting Shield,Standard +3 ,"{'Phy': '143 ', 'Mag': '42 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '84 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '65.92 ', 'Rst': '21 '}"
342,Carian Thrusting Shield,Standard +4 ,"{'Phy': '150 ', 'Mag': '44 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '87 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '65.92 ', 'Rst': '21 '}"
343,Carian Thrusting Shield,Standard +5 ,"{'Phy': '157 ', 'Mag': '46 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '90 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '67.2 ', 'Rst': '21 '}"
344,Carian Thrusting Shield,Standard +6 ,"{'Phy': '164 ', 'Mag': '48 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '93 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '67.84 ', 'Rst': '21 '}"
345,Carian Thrusting Shield,Standard +7 ,"{'Phy': '171 ', 'Mag': '50 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '96 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '68.48 ', 'Rst': '21 '}"
346,Carian Thrusting Shield,Standard +8 ,"{'Phy': '178 ', 'Mag': '52 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '99 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '69.12 ', 'Rst': '21 '}"
347,Carian Thrusting Shield,Standard +9 ,"{'Phy': '185 ', 'Mag': '54 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '102 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '69.76 ', 'Rst': '21 '}"
348,Carian Thrusting Shield,Standard +10 ,"{'Phy': '192 ', 'Mag': '56 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '105 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '70.4 ', 'Rst': '21 '}"
349,Carian Thrusting Shield,Standard +11 ,"{'Phy': '199 ', 'Mag': '58 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '108 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '71.04 ', 'Rst': '21 '}"
350,Carian Thrusting Shield,Standard +12 ,"{'Phy': '206 ', 'Mag': '61 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '111 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '71.68 ', 'Rst': '21 '}"
351,Carian Thrusting Shield,Standard +13 ,"{'Phy': '213 ', 'Mag': '63 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '114 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '72.32 ', 'Rst': '21 '}"
352,Carian Thrusting Shield,Standard +14 ,"{'Phy': '221 ', 'Mag': '65 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '117 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '72.96 ', 'Rst': '21 '}"
353,Carian Thrusting Shield,Standard +15 ,"{'Phy': '228 ', 'Mag': '67 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '120 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '73.6 ', 'Rst': '21 '}"
354,Carian Thrusting Shield,Standard +16 ,"{'Phy': '235 ', 'Mag': '69 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '123 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '74.24 ', 'Rst': '21 '}"
355,Carian Thrusting Shield,Standard +17 ,"{'Phy': '242 ', 'Mag': '71 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '126 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '74.24 ', 'Rst': '21 '}"
356,Carian Thrusting Shield,Standard +18 ,"{'Phy': '249 ', 'Mag': '73 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '129 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '74.88 ', 'Rst': '21 '}"
357,Carian Thrusting Shield,Standard +19 ,"{'Phy': '256 ', 'Mag': '75 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '132 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '74.88 ', 'Rst': '21 '}"
358,Carian Thrusting Shield,Standard +20 ,"{'Phy': '263 ', 'Mag': '77 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '135 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '75.52 ', 'Rst': '21 '}"
359,Carian Thrusting Shield,Standard +21 ,"{'Phy': '270 ', 'Mag': '79 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '138 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '75.52 ', 'Rst': '21 '}"
360,Carian Thrusting Shield,Standard +22 ,"{'Phy': '277 ', 'Mag': '81 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '141 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '75.52 ', 'Rst': '21 '}"
361,Carian Thrusting Shield,Standard +23 ,"{'Phy': '284 ', 'Mag': '84 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '144 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '76.16 ', 'Rst': '21 '}"
362,Carian Thrusting Shield,Standard +24 ,"{'Phy': '291 ', 'Mag': '86 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '147 '}","{'Str': 'C ', 'Dex': 'C ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '76.16 ', 'Rst': '21 '}"
363,Carian Thrusting Shield,Standard +25 ,"{'Phy': '298 ', 'Mag': '88 ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '150 '}","{'Str': 'C ', 'Dex': 'C ', 'Int': 'D ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '94 ', 'Mag': '64 ', 'Fir': '36 ', 'Lit': '34 ', 'Hol': '35 ', 'Bst': '76.8 ', 'Rst': '21 '}"
676,Dryleaf Arts,Standard ,"{'Phy': '80 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '50 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '20 ', 'Rst': '10 '}"
677,Dryleaf Arts,Standard +1 ,"{'Phy': '84 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '52 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '20.2 ', 'Rst': '10 '}"
678,Dryleaf Arts,Standard +2 ,"{'Phy': '89 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '54 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '20.4 ', 'Rst': '10 '}"
679,Dryleaf Arts,Standard +3 ,"{'Phy': '93 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '56 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '20.6 ', 'Rst': '10 '}"
680,Dryleaf Arts,Standard +4 ,"{'Phy': '98 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '58 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '20.6 ', 'Rst': '10 '}"
681,Dryleaf Arts,Standard +5 ,"{'Phy': '103 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '60 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '21 ', 'Rst': '10 '}"
682,Dryleaf Arts,Standard +6 ,"{'Phy': '107 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '62 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '21.2 ', 'Rst': '10 '}"
683,Dryleaf Arts,Standard +7 ,"{'Phy': '112 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '64 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '21.4 ', 'Rst': '10 '}"
684,Dryleaf Arts,Standard +8 ,"{'Phy': '117 ', 'Mag': '- ', 'Fir': '- ', 'Lit': '- ', 'Hol': '- ', 'Sta': '66 '}","{'Str': 'D ', 'Dex': 'D ', 'Int': '- ', 'Fai': '- ', 'Arc': '- '}",{'Any': '- '},"{'Phy': '35 ', 'Mag': '20 ', 'Fir': '20 ', 'Lit': '20 ', 'Hol': '20 ', 'Bst': '21.6 ', 'Rst': '10 '}"
